product_name,product_price,product_quantity,date_updated
Bagel - Whole White Sesame,430,97,2018-11-01 00:00:00
Sauce - Caesar Dressing,825,16,2019-04-10 00:00:00
Shiratamako - Rice Flour,799,71,2018-03-07 00:00:00
Tart - Raisin And Pecan,106,86,2019-01-18 00:00:00
Radish,247,22,2018-11-06 00:00:00
Juice - V8 Splash,115,67,2018-01-13 00:00:00
Red Currants,677,49,2018-10-01 00:00:00
Soup - Base Broth Beef,544,62,2019-03-09 00:00:00
Tomatoes Tear Drop Yellow,64,73,2019-02-09 00:00:00
Mussels - Cultivated,934,24,2018-07-31 00:00:00
"Bread - Crumbs, Bulk",449,88,2019-01-12 00:00:00
"Beans - Long, Chinese",473,47,2018-09-22 00:00:00
"Beans - Navy, Dry",460,44,2018-01-20 00:00:00
"Basil - Dry, Rubbed",869,21,2018-02-04 00:00:00
Apple - Granny Smith,506,72,2018-01-12 00:00:00
"Lid - High Heat, Super Clear",123,5,2018-02-09 00:00:00
Oranges - Navel,478,46,2018-06-06 00:00:00
Berry Brulee,759,50,2018-08-25 00:00:00
Lobster - Canned Premium,761,57,2018-04-15 00:00:00
Ham - Procutinni,570,8,2019-01-09 00:00:00
Veal - Ground,767,5,2018-12-19 00:00:00
Oil - Cooking Spray,420,6,2018-06-11 00:00:00
"Extract - Vanilla,artificial",291,20,2018-06-08 00:00:00
"Mushroom - Porcini, Dry",814,71,2018-07-26 00:00:00
Wine - Chateau Bonnet,741,54,2018-03-10 00:00:00
cheese,599,59,2020-10-30 15:46:23.256970
Milk,576,56,2020-10-25 16:21:08.635230
Wine- White,986,45,2020-10-26 16:56:23.050292
Meat - Ham,1254,32,2020-10-26 16:57:01.137178
Beer - Busch,899,59,2020-10-30 11:12:06.621284
